,time,resolution,open,high,low,close
0,1671581700000,900,16872.75,16889.98,16846.67,16886.45
1,1671582600000,900,16886.22,16907.11,16852.98,16864.11
2,1671583500000,900,16864.28,16864.75,16816.24,16841.81
3,1671584400000,900,16841.81,16868.5,16828.75,16856.23
4,1671585300000,900,16856.38,16880.27,16843.28,16847.31
5,1671586200000,900,16847.73,16868.0,16835.59,16852.16
6,1671587100000,900,16852.69,16877.63,16846.23,16868.19
7,1671588000000,900,16868.14,16879.42,16859.17,16874.88
8,1671588900000,900,16874.82,16881.38,16841.68,16867.65
9,1671589800000,900,16867.6,16869.0,16851.43,16862.82
10,1671590700000,900,16862.92,16868.25,16843.17,16851.36
11,1671591600000,900,16851.62,16853.86,16792.9,16826.24
12,1671592500000,900,16825.77,16835.49,16812.24,16814.31
13,1671593400000,900,16814.42,16844.47,16807.0,16830.61
14,1671594300000,900,16830.62,16843.82,16824.87,16837.28
15,1671595200000,900,16837.7,16839.59,16804.47,16809.12
16,1671596100000,900,16809.56,16828.57,16789.0,16806.39
17,1671597000000,900,16806.7,16819.39,16792.94,16803.04
18,1671597900000,900,16803.04,16823.29,16781.57,16795.71
19,1671598800000,900,16795.79,16816.46,16768.4,16809.82
20,1671599700000,900,16809.82,16828.82,16800.31,16821.68
21,1671600600000,900,16822.12,16838.31,16818.07,16837.64
22,1671601500000,900,16837.43,16848.45,16816.37,16834.34
23,1671602400000,900,16834.28,16845.32,16820.5,16838.96
24,1671603300000,900,16838.63,16853.99,16837.3,16838.95
25,1671604200000,900,16839.31,16858.8,16833.24,16842.94
26,1671605100000,900,16842.97,16849.14,16832.86,16838.44
27,1671606000000,900,16837.5,16855.83,16827.86,16843.67
28,1671606900000,900,16843.07,16847.2,16830.71,16836.21
29,1671607800000,900,16836.07,16838.68,16821.47,16830.19
30,1671608700000,900,16830.19,16834.92,16812.96,16817.4
31,1671609600000,900,16817.45,16825.36,16802.74,16819.49
32,1671610500000,900,16819.29,16822.61,16798.68,16811.8
33,1671611400000,900,16811.61,16848.83,16800.4,16847.57
34,1671612300000,900,16847.6,16896.13,16828.25,16866.06
35,1671613200000,900,16865.63,16882.79,16859.97,16872.3
36,1671614100000,900,16872.61,16874.98,16857.18,16861.35
37,1671615000000,900,16860.92,16873.7,16848.0,16868.6
38,1671615900000,900,16869.53,16884.97,16866.86,16871.31
39,1671616800000,900,16871.3,16874.33,16861.76,16865.22
40,1671617700000,900,16865.22,16884.44,16860.29,16881.74
41,1671618600000,900,16881.3,16883.71,16864.07,16869.9
42,1671619500000,900,16869.48,16877.61,16853.46,16863.16
43,1671620400000,900,16863.25,16870.66,16860.29,16866.55
44,1671621300000,900,16866.6,16868.32,16855.07,16862.79
45,1671622200000,900,16862.7,16871.44,16854.18,16868.61
46,1671623100000,900,16868.82,16894.9,16865.64,16878.87
47,1671624000000,900,16878.18,16887.48,16853.37,16854.16
48,1671624900000,900,16854.01,16860.0,16837.67,16847.6
49,1671625800000,900,16847.76,16851.64,16838.33,16849.59
